"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1852897982804578439","Mon Nov 04 05:23:36 +0000 2024","0","@emmawhatsen ya blackpink mah dr debut dah famous kan selalu disindir jga big3 privilege beda ma yg selalu mengagung agungkan 'agensi kecil' ","1853307082927427634","","emmawhatsen","in","","0","0","0","https://x.com/fanplusonedotco/status/1853307082927427634","1732323200053170176","fanplusonedotco"
"1853306850571334060","Mon Nov 04 05:22:40 +0000 2024","10","BLACKPINK GA PERNAH DOMPLENG ATAU NGUMPET DIBAWAH KETEK IDOL LAIN MEREKA SUKSES KARENA MEREKA SENDIRI. BP BAHKAN JARANG MENTION IDOL LAIN JADI TOLONG STOP NGAKU NGAKU.","1853306850571334060","","","in","","0","0","0","https://x.com/aaki_rraa/status/1853306850571334060","1647141076178964480","aaki_rraa"
"1852897982804578439","Mon Nov 04 05:15:36 +0000 2024","35","@emmawhatsen Blackpink kan girl group dari Korea goblok","1853305070651322371","","emmawhatsen","in","","0","0","0","https://x.com/AikDlRy/status/1853305070651322371","1458039402106478608","AikDlRy"
"1853304672817430718","Mon Nov 04 05:14:01 +0000 2024","1","ye kocak blackpink (dulu pinkpunk) mah udah lama terkenal padahal masih trainee video dance eval yang bitch better have my money aja booming.","1853304672817430718","","","in","dnf w/o consent.","0","0","0","https://x.com/mcmobami/status/1853304672817430718","1146433007760203776","mcmobami"
"1853304488678785444","Mon Nov 04 05:13:17 +0000 2024","0","temos algum utt/bias em comum? skz: minsung gidle: - enhypen: sunoo le sserafim: - bts: suga aespa: karina kiss of life: - twice: - blackpink: jensoo itzy: ryeji","1853304488678785444","","","in","any pronoun  autismo e tdah","0","0","0","https://x.com/leeknowcaralho/status/1853304488678785444","1471286279820218373","leeknowcaralho"
"1853303427989983694","Mon Nov 04 05:09:04 +0000 2024","0","dompleng di bagian mana collab kaga pernah interaksi kaga ada. dompleng di sebelah mananya blackpink dari awal debut udah gede anjir gongnya pas ddd","1853303427989983694","","","in","","0","0","0","https://x.com/0ongerhuman/status/1853303427989983694","1418532595193696261","0ongerhuman"
"1853301831549820978","Mon Nov 04 05:02:43 +0000 2024","0","Sorry yah blackpink dari awal debut rilis boombayah udah dapet allkill ","1853301831549820978","","","in","","0","0","0","https://x.com/itsoudy/status/1853301831549820978","1309880268950441984","itsoudy"
"1853300657023049793","Mon Nov 04 04:58:03 +0000 2024","0","[QUIZ] Intip Tempat Wisata Dunia ala Jennie BLACKPINK Sesuai Karaktermu! https://t.co/2xjkdrfDph","1853300657023049793","","","in","","0","0","0","https://x.com/IDNTimesTravel/status/1853300657023049793","1616331769376276480","IDNTimesTravel"
"1853300601683345573","Mon Nov 04 04:57:50 +0000 2024","0","si ody dari jaman blackpink blm kambek pink venom sampe skrg blackpink gak lanjut kontrak sama YG masih aja suka ribut gua aja nyesel dulu belain fav sampe sebegitunya","1853300601683345573","","","in","buy","0","0","0","https://x.com/dokumentaxi/status/1853300601683345573","1837747766464073734","dokumentaxi"
"1853300276473766224","Mon Nov 04 04:56:33 +0000 2024","0","Blackpink mode eceran aja udah kalah tuh si hyberuk awowkwok","1853300276473766224","","","in","","0","0","0","https://x.com/Vaannnyyyyy/status/1853300276473766224","269151032","Vaannnyyyyy"
